Student	Homework Assignment #1	Homework Assignment #2	Homework Assignment #3	Homework Assignment #4	Homework Assignment #5	Homework Assignment #6	Homework Assignment #7	Homework Assignment #8	Bonus Assignment #9	Lab #1	Lab #2	Lab #3	Lab #4	Lab #5	Lab #6	Lab #7	Lab #8	Lab #9	Lab #10	Midterm 1	Midterm 2	Final Exam
Points Possible	60	60	70	80	50	70	60	80	55	10	10	10	10	10	10	10	10	10	10	100	100	100
"Sam, Cook"	60	60	67.5	80	50	70	60	80	55	10	10	10	10	10	10	10	10	10	10	69	62	33.5
"Charlie, Brown"	60	60	70	80	50	70	60	80	50	10	10	10	13	10	10	10	10	10	10	58.5	62	62.5
"Peter, Pan"	60	60	70	77.5	50	61	60	80	25	10	10	10	12	10	10	10	10	10	10	89	99.5	89
"Robbie, Williams"	57	47	64	80	37.5	57	60	70	55	10	10	10	10	10	10	10	10	10	12	65.5	68.5	65
"Sammy, Davis"	60	60	70	80	50	70	60	80	22	10	10	10	13	10	10	10	10	10	10	63.5	65	47
"Frank, Sinatra"	54	46	65	77.5	50	70	60	80	23.5	10	10	10	13	9.5	10	10	10	10	10	53.5	74	66
"Billy, Joel"	60	60	70	80	50	70	60	80	55	10	10	11.5	13	11.5	10	10	10	10	10	75	83	66
"Queen, Elizabeth"	60	60		49		0	49	0		10	10	10	10	10	10	10	10	10	10	61	49	
"Jimmy, Carter"	60	60	70	80	40	66	55	60	15	10	10	10	13	12	10	10	10	12	10	78	88.5	94.5
"Paul, Simon"	60	60	70	80	50	70	60	80	31	10	10	10	13	9.5	10	10	10	10	10	87	94.25	87
"Jane, Doe"	60	60	70	80	50	70	60	80	32	10	10	10	13	10	10	10	10	9.5	10	41	74	58
"Billy, The Kid"	60	60	70	80	50	70	60	80	55	10	10	12	12	11	9	8	10	10	10	53	95	76
"Don, DeLille"	60	60	70	80	50	70	60	80	55	10	10	10	13	10	10	8.5	10	10	10	60	98	56
"Ronald, Reagan"	60	60	70	80	50	70	60	80	49	10	11	9	8	10	10	10	10	10	10	71	85.75	83.5
"Franklyn, Roosevelt"	60	60	70	80	50	70	60	80	55	10	10	10	13	9.5	10	10	10	12	10	58.5	49.25	58.5
"Bill, Clinton"	60	60	70	80	50	70	60	80	55	10	10	10	13	10	10	10	10	10	10	86	93	83
"Paul, Newman"	60	52.5	70	80	50	70	60	80	55	10	10		10	10	10	10	10	10	10	65	81.25	75
"Robert, Redford"	60	60	70	80	50	70	60	80	55	10	10	10	13	10	10	10	10	10	10	72.5	84.25	55
"Hans, Schmidt"	60	60	70	80	50	70	60	80	53		10	10	13	10	10	10	10	10	10	51	74.5	68.5
"Michael, Schuhmacher"	60	53	70	80	50	70	50	70	21.5	10	10	11	10	10	8	8	10	10	8	58	56	47
"Randy, Smith"	60	60	70	80	50	70	60	80	55	10	10	10	13	10	10	10	10	10	10	76	78.5	68.5
"Don, Jones"	60	60	70	80	50	70	60	80	55	10	10	10	13	10	10	10	10	10	10	80	89.5	87
"Justin, Biever"	60	60	70	80	50	70	60	80	12.5	9.5	10	10	8.5	9.5	10	8	10	10	10	57	31	31
"Michael, Jackson"	60	60	70	80	50	70	60	80	55	10	10	10	13	12	10	10	10	12	10	73	79	61.5
"Hans, Muir"	60	60	70	80	47.5	70	60	80	38	10	10	10	13	10	10	10	10	10	12	55	77	93
"Arnold, Terminator"	60	60	70	80	50	70	60	80	9.5	10	10	12	13	10	10	9.5	10	9.5	10	58	65	55
"Hillary, Clinton"	60	60	70	80	45	70	60	80	16.5	10	10	10	10	10	10	10	10	10	10	70.5	61	65.5
"Jannet, Jackson"	60	60	70	80	50	70	60	80	55	10	10	10	10	10	10	10	10	10	10	81	94.5	77.5
"Carolle, King"	60	60	70	80	50	70	60	80	44	10		10	10	10	10		10		10	82	98	78
"Nancy, Polosi"	60	60	70	80	50	70	60	80	28	10	10	10	13	10	10	10	10	11	10	55	75	86
"Elton, John"	58	51	62	34	35	60	0	50	5	10	10	11	12	11.5	8	10	10	10	10	64	76.5	65.5
"Sylvester, Stallone"	53	53.5	70	80	50	62	60	80	16	10	10	10	10	10	10	10	10	10	10	43	63.75	71.5
"Al, Pacino"	60	60	70	80	50	70	60	80	39	10	12	10	13	10	10	10	10	9.5	10	78.5	82	75.5
"Robert, DeNiro"	60	60	70	80	50	70	60	80	55	10	10	10	13	10	10	9.5	10	9.5	10	63	67	73
"Marty, McFly"	60	60	70	80	50	70	60	80	55	10	10	10	11	10	10	10	10	10	10	76	46	69
"Doc, Holiday"	60	60	70	80	50	70	60	70	37	10	10	11.5	13	10.5	9	10	8	10	10	70	69	70.5
"John, Wayne"	60	60	70	80	50	70	57.5	75	0	10	10	10	10	10	10	9	10	10	10	75	88.25	78
"Robert, Mitchum"	60	60	70	80	50	70	60	80	55	10	10	10	10	10	10	10	10	10	10	51.5	66	58.5
"Ginghis, Khan"	60	60	70	80	50	70	60	80	50	10	10	10	13	9.5	10	10	10		10	68	73	67.5
"Jim, Kirk"	60	60	70	80	50	70	60	80	29	10	10	10	13	10	10	10	10	9.5	10	53	66	71
Spock	60	60	70	80	50	70	60	80	55	10	10	10	13	9.5	10	10	10	12	10	73	87.25	70
"Lt, Ohura"	38.5	60	64.5	61	50	66	49	77.5	55		10	8	8	10	10	10	10	10	10	76	67.5	83.5
